"filename", "language", "YAML", "Properties", "Markdown", "Groovy", "Batch", "Shell Script", "Dockerfile", "XML", "HTML", "Kotlin", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"c:\stateset-mainnet\.idea\runConfigurations\Debug_CorDapp.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\stateset-mainnet\.idea\runConfigurations\Run_Contract_Tests.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\stateset-mainnet\.idea\runConfigurations\Run_Flow_Tests.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\stateset-mainnet\.idea\runConfigurations\Run_Integration_Tests.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\stateset-mainnet\.idea\runConfigurations\Run_Template_Client.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"c:\stateset-mainnet\.idea\runConfigurations\Run_Template_Cordapp.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"c:\stateset-mainnet\.idea\runConfigurations\Run_Template_Server.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\stateset-mainnet\.idea\runConfigurations\Unit_tests.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\stateset-mainnet\README.md", "Markdown", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 393
"c:\stateset-mainnet\build.gradle", "Groovy", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 28, 400
"c:\stateset-mainnet\clients\build.gradle", "Groovy", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 43
"c:\stateset-mainnet\clients\src\main\kotlin\com\template\Client.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 8, 5, 33
"c:\stateset-mainnet\clients\src\main\kotlin\com\template\webserver\Controller.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 5, 25
